month,year,customer_code,product_code
9,2020,70002017,A0118150101
9,2020,70003181,A0118150101
9,2020,70004069,A0118150101
9,2020,70006157,A0118150101
9,2020,70007198,A0118150101
9,2020,70008169,A0118150101
9,2020,70009133,A0118150101
9,2020,70010047,A0118150101
9,2020,70011193,A0118150101
9,2020,70012042,A0118150101
9,2020,70013125,A0118150101
9,2020,70014142,A0118150101
9,2020,70015151,A0118150101
9,2020,70016177,A0118150101
9,2020,70023031,A0118150101
9,2020,90002011,A0118150101
10,2020,70002017,A0118150101
10,2020,70003181,A0118150101
10,2020,70004069,A0118150101
10,2020,70006157,A0118150101
10,2020,70007198,A0118150101
10,2020,70008169,A0118150101
10,2020,70009133,A0118150101
10,2020,70011193,A0118150101
10,2020,70012042,A0118150101
10,2020,70013125,A0118150101
10,2020,70014142,A0118150101
10,2020,70016177,A0118150101
10,2020,70022084,A0118150101
11,2020,70002017,A0118150101
11,2020,70003181,A0118150101
11,2020,70004069,A0118150101
11,2020,70006157,A0118150101
11,2020,70008169,A0118150101
11,2020,70009133,A0118150101
11,2020,70010047,A0118150101
11,2020,70011193,A0118150101
11,2020,70013125,A0118150101
11,2020,70015151,A0118150101
11,2020,70016177,A0118150101
11,2020,70022084,A0118150101
11,2020,70023031,A0118150101
11,2020,90002011,A0118150101
12,2020,70007198,A0118150101
12,2020,70010047,A0118150101
12,2020,70012042,A0118150101
12,2020,70014142,A0118150101
12,2020,70015151,A0118150101
12,2020,70022084,A0118150101
12,2020,70023031,A0118150101
12,2020,90002011,A0118150101
1,2021,70002017,A0118150101
1,2021,70003181,A0118150101
1,2021,70004069,A0118150101
1,2021,70006157,A0118150101
1,2021,70007198,A0118150101
1,2021,70008169,A0118150101
1,2021,70009133,A0118150101
1,2021,70010047,A0118150101
1,2021,70011193,A0118150101
1,2021,70012042,A0118150101
1,2021,70013125,A0118150101
1,2021,70014142,A0118150101
1,2021,70015151,A0118150101
1,2021,70016177,A0118150101
1,2021,70023031,A0118150101
1,2021,90002011,A0118150101
2,2021,70002017,A0118150101
2,2021,70003181,A0118150101
2,2021,70004069,A0118150101
2,2021,70006157,A0118150101
2,2021,70007198,A0118150101
2,2021,70008169,A0118150101
2,2021,70009133,A0118150101
2,2021,70011193,A0118150101
2,2021,70012042,A0118150101
2,2021,70013125,A0118150101
2,2021,70014142,A0118150101
2,2021,70016177,A0118150101
2,2021,70022084,A0118150101
3,2021,70002017,A0118150101
3,2021,70003181,A0118150101
3,2021,70006157,A0118150101
3,2021,70008169,A0118150101
3,2021,70009133,A0118150101
3,2021,70010047,A0118150101
